model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.540230088908263,87.2121212121212,8634,9900,2.2816162860436244
36,71,0.5829465868497136,86.45454545454545,8559,9900,2.173480860416798
58,71,0.47632081147396205,88.29292929292929,8741,9900,2.263562651559033
71,71,0.533943723042806,86.9090909090909,8604,9900,2.3052974604979233
global,71,8.9483785856613,1.2121212121212122,120,9900
13,72,0.23145580793872025,94.01010101010101,9307,9900,2.0636905355221766
36,72,0.2184817216793696,94.43434343434343,9349,9900,1.985821594649675
58,72,0.1255190540172837,96.62626262626263,9566,9900,2.1490533119572155
71,72,0.2994915553295251,92.51515151515152,9159,9900,2.099078557536723
global,72,7.5008552782463305,3.0,297,9900
13,73,0.3074200420427804,92.37373737373737,9145,9900,1.9651029199723826
36,73,0.3002771899916909,92.27272727272727,9135,9900,1.9481945825559221
58,73,0.30861506668004124,92.5959595959596,9167,9900,1.950998720537213
71,73,0.11046150265619008,97.26262626262626,9629,9900,2.077264937634164
global,73,6.699045619771938,5.191919191919192,514,9900
13,74,0.12195695242496452,96.96969696969697,9600,9900,1.9421299404904688
36,74,0.1266786231431696,96.63636363636363,9567,9900,1.9328166594649439
58,74,0.1674829665819804,95.53535353535354,9458,9900,2.0764264500628844
71,74,0.19418908816395383,94.97979797979798,9403,9900,1.9952537127671652
global,74,6.0001352329446815,8.121212121212121,804,9900
13,75,0.21759388033789817,94.74747474747474,9380,9900,1.863657275630238
36,75,0.19482212771068919,95.26262626262626,9431,9900,1.8220827720298691
58,75,0.17487690536060718,95.76767676767676,9481,9900,2.019954673900639
71,75,0.10564909621922657,97.05050505050505,9608,9900,1.9322785191118652
global,75,5.281759478636462,12.595959595959597,1247,9900
13,76,0.2233554412620236,94.67676767676768,9373,9900,1.8333397850732276
36,76,0.0988450989413141,97.5050505050505,9653,9900,1.770566523778339
58,76,0.16252129710984953,95.91919191919192,9496,9900,1.9697039276169102
71,76,0.13188612813299352,96.67676767676767,9571,9900,1.9554258908045354
global,76,4.40833905769117,20.0,1980,9900
13,77,0.09348724679137119,97.55555555555556,9658,9900,1.8274595565599876
36,77,0.17580840757398894,95.51515151515152,9456,9900,1.715530779254188
58,77,0.19131615170324692,95.2929292929293,9434,9900,1.880137842887605
71,77,0.21302471835203846,94.39393939393939,9345,9900,1.8587677549067039
global,77,3.6052891679243606,29.61616161616162,2932,9900
13,78,0.1926126238131764,95.56565656565657,9461,9900,1.7784588009381948
36,78,0.18228178261506436,95.39393939393939,9444,9900,1.6810304462913939
58,78,0.21543469226119494,94.47474747474747,9353,9900,1.853597367858829
71,78,0.14432833081243013,96.33333333333334,9537,9900,1.8395388081203425
global,78,2.9880887179904514,38.44444444444444,3806,9900
13,79,0.17830286306564255,95.5959595959596,9464,9900,1.7386992562717007
36,79,0.20093077833002262,95.3030303030303,9435,9900,1.7284065858748574
58,79,0.39877925188854485,90.06060606060606,8916,9900,1.8349571045271635
71,79,0.3056364987113259,91.78787878787878,9087,9900,1.7819017924338671
global,79,2.485473783859099,46.909090909090914,4644,9900
13,80,0.12771544479962552,96.93939393939394,9597,9900,1.699617536380981
36,80,0.11311176308778802,97.18181818181819,9621,9900,1.6278763769765385
58,80,0.2803078147859284,93.17171717171718,9224,9900,1.7865631769701809
71,80,0.22140309745615178,94.47474747474747,9353,9900,1.7642423228945088
global,80,2.234465139369772,51.61616161616161,5110,9900
13,81,0.11633563469756733,97.20202020202021,9623,9900,1.6192615864185917
36,81,0.10326483260953065,97.38383838383838,9641,9900,1.5871771867195064
58,81,0.13858912814145136,96.3939393939394,9543,9900,1.7604189389306326
71,81,0.18260007422981842,95.4949494949495,9454,9900,1.7050323305392787
global,81,1.891389485368825,57.76767676767677,5719,9900
13,82,0.2182109812052563,94.82828282828282,9388,9900,1.6118763863660006
36,82,0.13375427197627346,96.85858585858585,9589,9900,1.5503664783261117
58,82,0.39002211146884497,90.73737373737374,8983,9900,1.6864498544267397
71,82,0.31169613982691907,91.7979797979798,9088,9900,1.718338657053937
global,82,1.5970251568880949,63.696969696969695,6306,9900
13,83,0.1056576577837419,97.47474747474747,9650,9900,1.554216169671739
36,83,0.1324279803338677,96.64646464646465,9568,9900,1.5344509222510967
58,83,0.47726848351835,88.26262626262627,8738,9900,1.6877012486017364
71,83,0.0631365280999153,98.46464646464646,9748,9900,1.6690979469819207
global,83,1.2900299966214883,69.8989898989899,6920,9900
13,84,0.1773958848943614,95.58585858585859,9463,9900,1.5473138976470038
