model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,71,0.5786217214603617,86.48484848484848,8562,9900,2.2822668866115623
36,71,0.5813422791163126,86.45454545454545,8559,9900,2.1739404311735444
58,71,0.4703909557997578,88.43434343434343,8755,9900,2.264222230403806
71,71,0.530012706120809,86.9090909090909,8604,9900,2.305209860360912
global,71,8.85044219970703,1.3939393939393938,138,9900
13,72,0.2290802575361849,94.08080808080808,9314,9900,2.0671889439907205
36,72,0.22250117530124355,94.28282828282828,9334,9900,1.9895758171006144
58,72,0.12171618200311757,96.73737373737373,9577,9900,2.1496668402234564
71,72,0.29212513251738115,92.61616161616162,9169,9900,2.1040615269545246
global,72,7.493906493524109,3.383838383838384,335,9900
13,73,0.3090598598393527,92.24242424242424,9132,9900,1.9791461207343983
36,73,0.29965028456967285,92.23232323232324,9131,9900,1.9622418446433934
58,73,0.29151267490603705,92.95959595959596,9203,9900,1.966173514535496
71,73,0.10394246628639674,97.44444444444444,9647,9900,2.0842830654841986
global,73,6.407994412508878,6.7272727272727275,666,9900
13,74,0.11673786119981246,97.0909090909091,9612,9900,1.9502516706381523
36,74,0.13836688122364005,96.3030303030303,9534,9900,1.938704885109134
58,74,0.15971312849208563,95.72727272727273,9477,9900,2.06503648554826
71,74,0.18896214259995356,95.07070707070707,9412,9900,2.0085248462753627
global,74,5.522616122467349,11.404040404040403,1129,9900
13,75,0.22950075363872027,94.41414141414141,9347,9900,1.875174387133761
36,75,0.20946240649680897,94.8989898989899,9395,9900,1.8238957055750373
58,75,0.17439973240548914,95.67676767676768,9472,9900,1.992955676805662
71,75,0.10137591446589941,97.23232323232324,9626,9900,1.9383269360350082
global,75,4.68547389483211,17.83838383838384,1766,9900
13,76,0.2223256871074137,94.72727272727272,9378,9900,1.841161171194143
36,76,0.10665143004119998,97.4040404040404,9643,9900,1.7818064573358714
58,76,0.14085586896749458,96.41414141414143,9545,9900,1.9347958921871935
71,76,0.13900945630338457,96.33333333333334,9537,9900,1.964556572557577
global,76,4.006454893169981,25.434343434343432,2518,9900
13,77,0.10453602266808351,97.28282828282828,9631,9900,1.8478027027631017
36,77,0.1977460753556454,95.0,9405,9900,1.7282603619558847
58,77,0.20429178558816813,94.82828282828282,9388,9900,1.8584681631650095
71,77,0.21583891768648167,94.39393939393939,9345,9900,1.8820964670500682
global,77,3.4842936922323826,32.57575757575758,3225,9900
13,78,0.20308324996269111,95.1919191919192,9424,9900,1.8151362747862547
36,78,0.20127344091733296,94.86868686868686,9392,9900,1.7029846553547983
58,78,0.2032199413366992,94.75757575757576,9381,9900,1.8399253227794738
71,78,0.13049572285979685,96.64646464646465,9568,9900,1.8711375826676895
global,78,2.9095043559989544,40.58585858585859,4018,9900
13,79,0.17698304873373774,95.5050505050505,9455,9900,1.7841758122477755
36,79,0.20144109734983157,95.27272727272728,9432,9900,1.765814711919763
58,79,0.3618571294437755,90.6969696969697,8979,9900,1.823718637532741
71,79,0.3729533600566363,90.08080808080808,8918,9900,1.814924394488305
global,79,2.5500056511464746,46.282828282828284,4582,9900
13,80,0.13361879026648973,96.67676767676767,9571,9900,1.7537143661783292
36,80,0.11583116745406931,97.02020202020202,9605,9900,1.6688462390365713
58,80,0.2604076554197254,93.41414141414141,9248,9900,1.7888595266018812
71,80,0.21929435336228573,94.41414141414141,9347,9900,1.811809210844468
global,80,2.1671747003420436,53.050505050505045,5252,9900
13,81,0.10495257018491476,97.4040404040404,9643,9900,1.667958386855797
36,81,0.09735791629161497,97.4949494949495,9652,9900,1.638215175273076
58,81,0.17968240749655348,95.21212121212122,9426,9900,1.7475611859089464
71,81,0.17633307382313892,95.42424242424242,9447,9900,1.752370046893635
global,81,1.8568829280198222,58.54545454545455,5796,9900
13,82,0.2434008643362257,94.12121212121211,9318,9900,1.6785306983574562
